userName,conditionId,testId,titer,userResult
A31PAV179FWFO7,0,0,0.50,1
A31PAV179FWFO7,0,1,0.40,0
A31PAV179FWFO7,0,3,0.60,1
A31PAV179FWFO7,0,4,0.50,0
A31PAV179FWFO7,0,5,0.75,1
A31PAV179FWFO7,0,6,0.65,1
A31PAV179FWFO7,0,7,0.55,0
A31PAV179FWFO7,0,8,0.75,0
A31PAV179FWFO7,0,9,0.75,0
A31PAV179FWFO7,0,10,0.75,0
A31PAV179FWFO7,0,11,0.75,1
A31PAV179FWFO7,0,12,0.65,0
A31PAV179FWFO7,0,13,0.75,1
A31PAV179FWFO7,0,14,0.65,0
A31PAV179FWFO7,0,15,0.75,1
A31PAV179FWFO7,0,16,0.65,1
A31PAV179FWFO7,0,17,0.55,1
A31PAV179FWFO7,0,18,0.45,1
A31PAV179FWFO7,0,19,0.35,0
A31PAV179FWFO7,1,0,0.50,0
A31PAV179FWFO7,1,1,0.75,1
A31PAV179FWFO7,1,2,0.65,1
A31PAV179FWFO7,1,3,0.55,0
A31PAV179FWFO7,1,4,0.75,0
A31PAV179FWFO7,1,5,0.75,1
A31PAV179FWFO7,1,6,0.65,0
A31PAV179FWFO7,1,7,0.75,0
A31PAV179FWFO7,1,8,0.75,1
A31PAV179FWFO7,1,9,0.65,0
A31PAV179FWFO7,1,10,0.75,0
A31PAV179FWFO7,1,11,0.75,0
A31PAV179FWFO7,1,12,0.75,1
A31PAV179FWFO7,1,13,0.65,1
A31PAV179FWFO7,1,14,0.55,0
A31PAV179FWFO7,1,15,0.75,0
A31PAV179FWFO7,1,16,0.75,0
A31PAV179FWFO7,1,17,0.75,0
A31PAV179FWFO7,1,18,0.75,1
A31PAV179FWFO7,1,19,0.65,1
A31PAV179FWFO7,2,0,0.50,0
A31PAV179FWFO7,2,1,0.75,1
A31PAV179FWFO7,2,2,0.65,1
A31PAV179FWFO7,2,3,0.55,0
A31PAV179FWFO7,2,4,0.75,1
A31PAV179FWFO7,2,5,0.65,1
A31PAV179FWFO7,2,6,0.55,1
A31PAV179FWFO7,2,7,0.45,1
A31PAV179FWFO7,2,8,0.35,0
A31PAV179FWFO7,2,9,0.65,1
A31PAV179FWFO7,2,10,0.55,1
A31PAV179FWFO7,2,11,0.45,0
A31PAV179FWFO7,2,12,0.75,1
A31PAV179FWFO7,2,13,0.65,1
A31PAV179FWFO7,2,14,0.55,0
A31PAV179FWFO7,2,15,0.75,1
A31PAV179FWFO7,2,16,0.65,1
A31PAV179FWFO7,2,17,0.55,0
A31PAV179FWFO7,2,18,0.75,1
A31PAV179FWFO7,2,19,0.65,1
A31PAV179FWFO7,3,0,0.50,1
A31PAV179FWFO7,3,1,0.40,1
A31PAV179FWFO7,3,2,0.30,1
A31PAV179FWFO7,3,3,0.20,1
A31PAV179FWFO7,3,4,0.10,1
A31PAV179FWFO7,3,5,0.10,1
A31PAV179FWFO7,3,6,0.10,1
A31PAV179FWFO7,3,7,0.10,0
A31PAV179FWFO7,3,8,0.40,0
A31PAV179FWFO7,3,9,0.70,1
A31PAV179FWFO7,3,10,0.60,1
A31PAV179FWFO7,3,11,0.50,1
A31PAV179FWFO7,3,12,0.40,1
A31PAV179FWFO7,3,13,0.30,1
A31PAV179FWFO7,3,14,0.20,1
A31PAV179FWFO7,3,15,0.10,1
A31PAV179FWFO7,3,16,0.10,1
A31PAV179FWFO7,3,17,0.10,1
A31PAV179FWFO7,3,18,0.10,1
A31PAV179FWFO7,3,19,0.10,1
A31PAV179FWFO7,4,0,0.50,0
A31PAV179FWFO7,4,1,0.75,0
A31PAV179FWFO7,4,2,0.75,0
A31PAV179FWFO7,4,3,0.75,1
A31PAV179FWFO7,4,4,0.65,0
A31PAV179FWFO7,4,5,0.75,1
A31PAV179FWFO7,0,2,0.70,1
A31PAV179FWFO7,4,6,0.65,0
A31PAV179FWFO7,4,7,0.75,0
A31PAV179FWFO7,4,8,0.75,0
A31PAV179FWFO7,4,10,0.65,1
A31PAV179FWFO7,4,9,0.75,1
A31PAV179FWFO7,4,11,0.55,0
A31PAV179FWFO7,4,12,0.75,0
A31PAV179FWFO7,4,13,0.75,0
A31PAV179FWFO7,4,15,0.75,1
A31PAV179FWFO7,4,14,0.75,0
A31PAV179FWFO7,4,16,0.65,0
A31PAV179FWFO7,4,17,0.75,1
A31PAV179FWFO7,4,19,0.55,0
A31PAV179FWFO7,4,18,0.65,1
A31PAV179FWFO7,5,0,0.50,1
A31PAV179FWFO7,5,2,0.30,1
A31PAV179FWFO7,5,3,0.20,1
A31PAV179FWFO7,5,4,0.10,0
A31PAV179FWFO7,5,1,0.40,1
A31PAV179FWFO7,5,5,0.40,1
A31PAV179FWFO7,5,6,0.30,1
A31PAV179FWFO7,5,8,0.10,0
A31PAV179FWFO7,5,7,0.20,1
A31PAV179FWFO7,5,9,0.40,1
A31PAV179FWFO7,5,11,0.20,1
A31PAV179FWFO7,5,12,0.10,1
A31PAV179FWFO7,5,13,0.10,1
A31PAV179FWFO7,5,14,0.10,1
A31PAV179FWFO7,5,15,0.10,1
A31PAV179FWFO7,5,16,0.10,1
A31PAV179FWFO7,5,17,0.10,1
A31PAV179FWFO7,5,18,0.10,0
A31PAV179FWFO7,5,19,0.40,1
A31PAV179FWFO7,5,10,0.30,1
