userName,conditionId,testId,titer,userResult
A18IBIG55GUNMH,0,0,0.50,0
A18IBIG55GUNMH,0,2,0.65,1
A18IBIG55GUNMH,0,1,0.75,1
A18IBIG55GUNMH,0,3,0.55,0
A18IBIG55GUNMH,0,4,0.75,1
A18IBIG55GUNMH,0,5,0.65,0
A18IBIG55GUNMH,0,6,0.75,1
A18IBIG55GUNMH,0,7,0.65,0
A18IBIG55GUNMH,0,8,0.75,0
A18IBIG55GUNMH,0,9,0.75,0
A18IBIG55GUNMH,0,10,0.75,0
A18IBIG55GUNMH,0,11,0.75,1
A18IBIG55GUNMH,0,12,0.65,1
A18IBIG55GUNMH,0,13,0.55,0
A18IBIG55GUNMH,0,14,0.75,1
A18IBIG55GUNMH,0,15,0.65,0
A18IBIG55GUNMH,0,16,0.75,1
A18IBIG55GUNMH,0,17,0.65,0
A18IBIG55GUNMH,0,18,0.75,1
A18IBIG55GUNMH,0,19,0.65,1
A18IBIG55GUNMH,1,0,0.50,0
A18IBIG55GUNMH,1,1,0.75,1
A18IBIG55GUNMH,1,2,0.65,1
A18IBIG55GUNMH,1,3,0.55,0
A18IBIG55GUNMH,1,4,0.75,1
A18IBIG55GUNMH,1,5,0.65,1
A18IBIG55GUNMH,1,6,0.55,0
A18IBIG55GUNMH,1,7,0.75,1
A18IBIG55GUNMH,1,8,0.65,0
A18IBIG55GUNMH,1,9,0.75,1
A18IBIG55GUNMH,1,10,0.65,1
A18IBIG55GUNMH,1,11,0.55,0
A18IBIG55GUNMH,1,12,0.75,1
A18IBIG55GUNMH,1,13,0.65,0
A18IBIG55GUNMH,1,14,0.75,1
A18IBIG55GUNMH,1,15,0.65,0
A18IBIG55GUNMH,1,16,0.75,1
A18IBIG55GUNMH,1,17,0.65,0
A18IBIG55GUNMH,1,18,0.75,1
A18IBIG55GUNMH,1,19,0.65,0
A18IBIG55GUNMH,2,0,0.50,1
A18IBIG55GUNMH,2,1,0.40,1
A18IBIG55GUNMH,2,2,0.30,0
A18IBIG55GUNMH,2,3,0.60,0
A18IBIG55GUNMH,2,4,0.75,1
A18IBIG55GUNMH,2,5,0.65,1
A18IBIG55GUNMH,2,6,0.55,0
A18IBIG55GUNMH,2,7,0.75,1
A18IBIG55GUNMH,2,8,0.65,1
A18IBIG55GUNMH,2,9,0.55,0
A18IBIG55GUNMH,2,10,0.75,1
A18IBIG55GUNMH,2,11,0.65,1
A18IBIG55GUNMH,2,12,0.55,0
A18IBIG55GUNMH,2,13,0.75,0
A18IBIG55GUNMH,2,14,0.75,1
A18IBIG55GUNMH,2,15,0.65,1
A18IBIG55GUNMH,2,16,0.55,1
A18IBIG55GUNMH,2,17,0.45,0
A18IBIG55GUNMH,2,18,0.75,1
A18IBIG55GUNMH,2,19,0.65,1
A18IBIG55GUNMH,3,0,0.50,1
A18IBIG55GUNMH,3,1,0.40,1
A18IBIG55GUNMH,3,2,0.30,1
A18IBIG55GUNMH,3,3,0.20,1
A18IBIG55GUNMH,3,4,0.10,1
A18IBIG55GUNMH,3,5,0.10,1
A18IBIG55GUNMH,3,6,0.10,1
A18IBIG55GUNMH,3,7,0.10,1
A18IBIG55GUNMH,3,8,0.10,1
A18IBIG55GUNMH,3,9,0.10,0
A18IBIG55GUNMH,3,10,0.40,1
A18IBIG55GUNMH,3,11,0.30,1
A18IBIG55GUNMH,3,12,0.20,1
A18IBIG55GUNMH,3,13,0.10,1
A18IBIG55GUNMH,3,14,0.10,1
A18IBIG55GUNMH,3,15,0.10,1
A18IBIG55GUNMH,3,16,0.10,1
A18IBIG55GUNMH,3,17,0.10,0
A18IBIG55GUNMH,3,18,0.40,1
A18IBIG55GUNMH,3,19,0.30,1
A18IBIG55GUNMH,4,0,0.50,0
A18IBIG55GUNMH,4,1,0.75,0
A18IBIG55GUNMH,4,2,0.75,1
A18IBIG55GUNMH,4,3,0.65,1
A18IBIG55GUNMH,4,4,0.55,1
A18IBIG55GUNMH,4,5,0.45,0
A18IBIG55GUNMH,4,6,0.75,1
A18IBIG55GUNMH,4,7,0.65,1
A18IBIG55GUNMH,4,8,0.55,1
A18IBIG55GUNMH,4,9,0.45,1
A18IBIG55GUNMH,4,11,0.65,0
A18IBIG55GUNMH,4,10,0.35,0
A18IBIG55GUNMH,4,12,0.75,0
A18IBIG55GUNMH,4,13,0.75,1
A18IBIG55GUNMH,4,14,0.65,0
A18IBIG55GUNMH,4,15,0.75,0
A18IBIG55GUNMH,4,16,0.75,1
A18IBIG55GUNMH,4,17,0.65,0
A18IBIG55GUNMH,4,18,0.75,1
A18IBIG55GUNMH,4,19,0.65,1
A18IBIG55GUNMH,5,0,0.50,1
A18IBIG55GUNMH,5,1,0.40,0
A18IBIG55GUNMH,5,2,0.70,1
A18IBIG55GUNMH,5,3,0.60,1
A18IBIG55GUNMH,5,4,0.50,1
A18IBIG55GUNMH,5,5,0.40,1
A18IBIG55GUNMH,5,6,0.30,1
A18IBIG55GUNMH,5,7,0.20,1
A18IBIG55GUNMH,5,8,0.10,1
A18IBIG55GUNMH,5,9,0.10,1
A18IBIG55GUNMH,5,10,0.10,1
A18IBIG55GUNMH,5,11,0.10,1
A18IBIG55GUNMH,5,13,0.10,0
A18IBIG55GUNMH,5,14,0.40,1
A18IBIG55GUNMH,5,12,0.10,1
A18IBIG55GUNMH,5,15,0.30,1
A18IBIG55GUNMH,5,16,0.20,1
A18IBIG55GUNMH,5,17,0.10,1
A18IBIG55GUNMH,5,18,0.10,1
A18IBIG55GUNMH,5,19,0.10,1
